Name,7mil
500.perlbench_r,0.074029

502.gcc_r,0.065632

503.bwaves_r,0.001078

505.mcf_r,0.045443

507.cactuBSSN_r,0.036353

508.namd_r,0.001128

510.parest_r,0.050251

511.povray_r,0.043625

519.lbm_r,0.591447

520.omnetpp_r,0.049235

557.xz_r,0.402554

600.perlbench_s,0.073776

602.gcc_s,0.066448

603.bwaves_s,
607.cactuBSSN_s,0.037559

619.lbm_s,0.564912

620.omnetpp_s,0.048321

621.wrf_s,
623.xalancbmk_s,0.073716

625.x264_s,0.029103

627.cam4_s,
628.pop2_s,
631.deepsjeng_s,0.676592

638.imagick_s,0.034044

641.leela_s,0.052164

644.nab_s,0.039522

648.exchange2_s,0.026550

649.fotonik3d_s,
654.roms_s,
657.xz_s,1.033405

