Name,7mil
500.perlbench_r,0.077053

502.gcc_r,0.078417

503.bwaves_r,0.001067

505.mcf_r,0.063554

507.cactuBSSN_r,0.046011

508.namd_r,0.001121

510.parest_r,0.061636

511.povray_r,0.047873

519.lbm_r,0.845346

520.omnetpp_r,0.049837

557.xz_r,0.413929

600.perlbench_s,0.077039

602.gcc_s,0.077827

603.bwaves_s,
607.cactuBSSN_s,0.045386

619.lbm_s,0.808216

620.omnetpp_s,0.049487

621.wrf_s,
623.xalancbmk_s,0.076863

625.x264_s,0.040741

627.cam4_s,
628.pop2_s,
631.deepsjeng_s,1.010276

638.imagick_s,0.044985

641.leela_s,0.063425

644.nab_s,0.046899

648.exchange2_s,0.035403

649.fotonik3d_s,
654.roms_s,
657.xz_s,
