Name,7mil
500.perlbench_r,0.068600

502.gcc_r,0.070811

503.bwaves_r,0.001067

505.mcf_r,0.063489

507.cactuBSSN_r,0.045368

508.namd_r,0.001121

510.parest_r,0.057376

511.povray_r,0.046683

519.lbm_r,0.845346

520.omnetpp_r,0.048716

557.xz_r,0.413917

600.perlbench_s,0.068472

602.gcc_s,0.070837

603.bwaves_s,
607.cactuBSSN_s,0.044741

619.lbm_s,0.808216

620.omnetpp_s,0.048458

621.wrf_s,
623.xalancbmk_s,0.064899

625.x264_s,0.040725

627.cam4_s,
628.pop2_s,
631.deepsjeng_s,1.010276

638.imagick_s,0.044689

641.leela_s,0.063428

644.nab_s,0.045050

648.exchange2_s,0.035380

649.fotonik3d_s,
654.roms_s,
657.xz_s,
