gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 20.0.0.2
gem5 compiled Sep 14 2020 15:06:02
gem5 started Sep 14 2020 15:19:30
gem5 executing on nanocad-server-testbed, pid 5439
command line: x86o --debug-flags=CoherentXBar simple.py

Global frequency set at 1000000000000 ticks per second
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [0:3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [0:3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [40:7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [40:7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [80:bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [80:bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [c0:ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [c0:ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [100:13f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [100:13f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [140:17f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [140:17f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [180:1bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [180:1bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1c0:1ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1c0:1ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [200:23f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [200:23f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [240:27f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [240:27f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [280:2bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [280:2bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [2c0:2ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [2c0:2ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [300:33f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [300:33f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [340:37f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [340:37f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [380:3bf]
