Name,1mil,2mil,3mil,4mil,5mil
blender_r,0.003846,0.007687,0.011556,0.015319,0.019156
bwaves_r,0.000214
bwaves_s,
cactuBSSN_r,0.004487,0.009052,0.013864,0.018579,0.023271
cactuBSSN_s,0.004448,0.008797,0.013429,0.018039,0.022616
cam4_r,0.002977
cam4_s,
deepsjeng_r,0.003590,0.018925,0.034260,0.049596,0.064931
deepsjeng_s,0.003591,0.018926,0.034262,0.049597,0.064932
exchange2_r,0.003714,0.007315,0.011050,0.014364,0.017863
exchange2_s,0.003742,0.007275,0.010937,0.014222,0.017683
fotonik3d_s,
gcc_r,0.004298,0.008874,0.014652,0.020585,0.025970
gcc_s,0.004085,0.008812,0.014668,0.020371,0.025685
imagick_r,0.004498,0.008235,0.011993,0.015737,0.019487
imagick_s,0.004941,0.009793,0.013990,0.018180,0.022366
lbm_r,0.012569,0.025257,0.037942,0.050629,0.063316
lbm_s,0.011911,0.024145,0.036379,0.048613,0.060847
leela_r,0.006534,0.010680,0.014811,0.019034,0.023229
leela_s,0.006535,0.010697,0.014844,0.019087,0.023318
mcf_r,0.004684,0.009314,0.013931,0.018563,0.023211
nab_r,0.005052,0.010173,0.015324,0.020441,0.025575
nab_s,0.004838,0.009651,0.014468,0.019290,0.024120
namd_r,0.000293
omnetpp_r,0.004650,0.009048,0.012635,0.016258,0.019717
omnetpp_s,0.004843,0.009400,0.012986,0.016600,0.020061
parest_r,0.003865,0.008025,0.012419,0.017433,0.022885
perlbench_r,0.006651,0.014221,0.021618,0.027785,0.033902
perlbench_s,0.006789,0.014279,0.021639,0.027921,0.034126
pop2_s,
povray_r,0.004267,0.008309,0.013413,0.018962,0.024257
roms_r,0.000912
roms_s,
wrf_r,0.005325,0.015169,0.028233,0.043419,0.059663
wrf_s,
x264_r,0.003662,0.007121,0.010572,0.014022,0.017475
x264_s,0.003665,0.007124,0.010574,0.014024,0.017476
xalancbmk_r,0.004393,0.010102,0.017470,0.025023,0.031999
xalancbmk_s,0.004509,0.010176,0.017440,0.024882,0.031758
xz_r,0.017592,0.035284,0.047458,0.050727,0.053975
xz_s,0.017234,0.034930
