Name,1mil,2mil,3mil,4mil,5mil,6mil,7mil
blender_r,0.003846,0.007687,0.011556,0.015232,0.018969,0.022714,0.026069
bwaves_r,0.000214
bwaves_s,
cactuBSSN_r,0.004487,0.009052,0.013864,0.017745,0.021587,0.025442,0.029266
cactuBSSN_s,0.004448,0.008797,0.013429,0.017287,0.021103,0.024942,0.028720
cam4_r,0.002977
cam4_s,
deepsjeng_r,0.003590,0.018925,0.034260,0.049576,0.065714,0.081853,0.097991
deepsjeng_s,0.003591,0.018926,0.034262,0.049577,0.065715,0.081854,0.097992
exchange2_r,0.003714,0.007315,0.011050,0.014228,0.017504,0.020850,0.024132
exchange2_s,0.003742,0.007275,0.010937,0.014099,0.017348,0.020659,0.023901
fotonik3d_s,
gcc_r,0.004298,0.008874,0.014652,0.019175,0.023681,0.027891,0.031897
gcc_s,0.004085,0.008812,0.014668,0.019087,0.023539,0.027797,0.031928
imagick_r,0.004498,0.008235,0.011993,0.015719,0.019442,0.023159,0.026875
imagick_s,0.004941,0.009793,0.013990,0.017625,0.021251,0.024879,0.028506
lbm_r,0.012572,0.025258,0.037944,0.050576,0.063719,0.076993,0.090268
lbm_s,0.011911,0.024145,0.036379,0.048545,0.061247,0.074131,0.087015
leela_r,0.006534,0.010680,0.014811,0.018563,0.022291,0.026011,0.029732
leela_s,0.006535,0.010697,0.014844,0.018617,0.022369,0.026110,0.029856
mcf_r,0.004684,0.009314,0.013931,0.018214,0.019389
nab_r,0.005052,0.010173,0.015324,0.019247,0.023209,0.027134,0.031066
nab_s,0.004838,0.009651,0.014468,0.018473,0.022469,0.026469,0.030466
namd_r,0.000293
omnetpp_r,0.004650,0.009048,0.012635,0.016250,0.019555,0.022811,0.026125
omnetpp_s,0.004843,0.009400,0.012986,0.016599,0.019903,0.023175,0.026494
parest_r,0.003865,0.008025,0.012419,0.016622,0.020779,0.024921,0.029062
perlbench_r,0.006651,0.014221,0.021618,0.026052,0.030403,0.034747,0.039079
perlbench_s,0.006789,0.014279,0.021639,0.026111,0.030500,0.034888,0.039258
pop2_s,
povray_r,0.004267,0.008309,0.013413,0.017612,0.020891,0.024186,0.027374
roms_r,0.000912
roms_s,
wrf_r,0.005325,0.015169,0.028233,0.034849,0.041580,0.048390,0.054115
wrf_s,
x264_r,0.003662,0.007121,0.010572,0.014012,0.017462,0.020893,0.024339
x264_s,0.003665,0.007124,0.010574,0.014014,0.017462,0.020893,0.024338
xalancbmk_r,0.004393,0.010102,0.017470,0.022277,0.026892,0.031543,0.035770
xalancbmk_s,0.004509,0.010176,0.017440,0.022301,0.026921,0.031552,0.035761
xz_r,0.017592,0.035284,0.047458,0.050680,0.053866,0.057131,0.060377
xz_s,0.017234,0.034930
