Name,1mil,2mil,3mil,4mil,5mil
blender_r,0.003846,0.007687,0.011556,0.015232,0.018969
bwaves_r,0.000214
bwaves_s,
cactuBSSN_r,0.004487,0.009052,0.013864,0.017745,0.021586
cactuBSSN_s,0.004448,0.008797,0.013429,0.017287,0.021103
cam4_r,0.002977
cam4_s,
deepsjeng_r,0.003590,0.018925,0.034260,0.049576,0.065714
deepsjeng_s,0.003591,0.018926,0.034262,0.049577,0.065715
exchange2_r,0.003715,0.007315,0.011050,0.014228,0.017504
exchange2_s,0.003742,0.007275,0.010937,0.014099,0.017348
fotonik3d_s,
gcc_r,0.004298,0.008874,0.014652,0.019175,0.023681
gcc_s,0.004085,0.008812,0.014668,0.019087,0.023539
imagick_r,0.004498,0.008235,0.011993,0.015719,0.019436
imagick_s,0.004941,0.009793,0.013990,0.017625,0.021251
lbm_r,0.012572,0.025258,0.037944,0.050576,0.063719
lbm_s,0.011911,0.024145,0.036379,0.048545,0.061247
leela_r,0.006534,0.010680,0.014811,0.018563,0.022290
leela_s,0.006535,0.010697,0.014844,0.018617,0.022369
mcf_r,0.004684,0.009314,0.013931,0.018214,0.019389
nab_r,0.005052,0.010173,0.015324,0.019247,0.023209
nab_s,0.004838,0.009651,0.014468,0.018473,0.022469
namd_r,0.000293
omnetpp_r,0.004650,0.009048,0.012635,0.016250,0.019554
omnetpp_s,0.004843,0.009400,0.012986,0.016599,0.019902
parest_r,0.003865,0.008025,0.012419,0.016622,0.020778
perlbench_r,0.006651,0.014221,0.021618,0.026052,0.030402
perlbench_s,0.006789,0.014279,0.021639,0.026111,0.030500
pop2_s,
povray_r,0.004267,0.008309,0.013413,0.017612,0.020891
roms_r,0.000912
roms_s,
wrf_r,0.005325,0.015169,0.028233,0.034849,0.041580
wrf_s,
x264_r,0.003662,0.007121,0.010572,0.014012,0.017454
x264_s,0.003665,0.007124,0.010574,0.014014,0.017454
xalancbmk_r,0.004393,0.010102,0.017470,0.022277,0.026892
xalancbmk_s,0.004509,0.010176,0.017440,0.022301,0.026921
xz_r,0.017592,0.035284,0.047458,0.050680,0.053858
xz_s,0.017234,0.034930
