,benchmark,Unnamed: 0,1mil,2mil,3mil,4mil,5mil,6mil,7mil
0,0,,1.0094339622641508,,,,,,
1,1,1.0,,,,,,,
2,2,1.0,1.102186195038074,1.159512319024638,1.1934523809523805,1.170265574584264,1.1610588817417127,1.1820424272323626,1.1883182275931525
3,3,1.0,1.0780416868637905,1.113985655737705,1.149950347567031,1.1484803188839063,1.1413965087281797,1.1509900990099005,1.1394703656998735
4,4,1.0,,,,,,,
5,5,1.0,0.9930862831858408,0.9501827870376107,0.9503036311810635,0.9501827870376109,0.95018278703761,0.9502416656339068,0.9502447487452763
6,6,1.0,1.0523059617547807,1.0735338802795502,1.067016317016317,1.0518731988472618,1.064595509074131,1.0720775287704414,1.089197530864198
7,7,1.0,,,,,,,
8,8,1.0,1.0654437283093703,1.063197026022305,1.145746579417014,1.2088427057864708,1.1153686826843419,0.9929667519181599,1.0318161732213862
9,9,1.0,1.0468990261404405,1.0998138669148443,1.123992322456814,1.1596177307848716,1.0807402887939812,1.0302389511524621,1.102255639097743
10,10,1.0,1.1163578852236784,1.1604879215498685,1.1555616740088104,1.1549062844542453,1.1509485839978,1.1520307354555432,1.1573002754820942
11,11,1.0,0.9583778014941302,0.9559189209554673,0.9559909570459681,0.9562104311124516,0.9561383676237837,0.9560663149962321,0.9559942732273378
12,12,1.0,0.9527275635898257,0.9495498292455755,0.9495498292455763,0.9495498292455749,0.949549829245577,0.9494761350407436,0.9497011565629138
13,13,1.0,0.9927084915691932,1.1179156594144504,1.1126911725248185,1.1272582359192354,1.1279317697228137,1.1199572535399425,1.1224326487063203
14,14,1.0,1.0767816091954026,1.0757434944237916,1.072972344875668,1.0754585558393317,1.0783677254811024,1.0742115027829324,1.0751337520353579
15,15,1.0,1.1206856613388927,1.1397111058489229,1.1488194610064397,1.1131117266851343,1.1505478799428295,1.1348050728041335,1.1390399621659981
16,16,1.0,1.0034246575342467,,,,,,
17,17,1.0,1.12618067328651,1.1108865875221015,0.9936288088642653,0.9975220264317185,1.00464711007842,1.0057887120115763,1.0020790020790042
18,18,1.0,1.1487191650853892,1.1341463414634145,0.9930767100526172,0.996965517241379,1.005520046484602,1.008364580328814,1.0018125323666487
19,19,1.0,1.0235699152542372,1.07465771118574,1.095214356929212,1.1481566292649426,1.1405857740585765,1.146418098031001,1.1502009731330658
20,20,1.0,1.2429452438796489,1.477938305349473,,,,,
21,21,1.0,1.243178904962461,1.2186788154897494,1.234485072123448,1.2667876588021785,4.529197080291972,,
22,22,1.0,,,,,,,
23,23,1.0,1.0838201676403352,1.076718167288226,1.1057192374350087,1.3793189162316672,1.5477930429698936,1.5753002771789353,1.1121667177444052
24,24,1.0,,,,,,,
25,25,1.0,,,,,,,
26,26,1.0,1.0101984564498345,1.0017376194613377,1.0014513788098698,1.001742160278747,1.0052279988382222,0.9985481997677117,1.0029002320185614
27,27,1.0,,,,,,,
28,28,1.0,0.9456539267860021,0.9506716818914561,0.9588091675198863,1.0152173913043503,1.018773466833541,1.0233404061836922,1.0242628992629024
29,29,1.0,0.9551097317667921,0.9545797820692635,0.9545282917093687,0.95452829170937,0.9545797820692626,0.954528291709371,0.9545282917093674
